dataentryid,id,partner,partnermentiontype,datecreated,servicetype,authordisplayname,message,contenttype,url,impressions,retweetcount,likecount,replycount,commentcount,viewcount,lovecount,sharecount,wowcount,hahacount,sadcount,angrycount,brandexposurevalue,logoaverageclarity,logoaveragesize,logototalseconds,logoimpressions,engagement,sentiment,vodviews,tags,alllogos,textmention
1797,-1944401167,Arizona Coyotes,TextMention,3/9/21 21:59,Twitter,Arizona Coyotes,,Photo,,84433,70,1105,14,,,,,,,,,0,,,,,8402,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1796,283000438,Arizona Coyotes,TextMention,3/9/21 20:31,Twitter,Arizona Coyotes,,Photo,,101264,44,394,31,,,,,,,,,0,,,,,8904,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1795,-1267829565,Arizona Coyotes,TextMention,3/9/21 19:49,Twitter,Arizona Coyotes,,Photo,,5429,5,36,0,,,,,,,,,0,,,,,101,Objective,,"Social Owned,Coyotes Owned",Gila River,Coyotes Owned
1794,-2027210872,Arizona Coyotes,TextMention,3/9/21 19:49,Twitter,Arizona Coyotes,,Photo,,6556,7,45,1,,,,,,,,,0,,,,,191,Positive,,"Social Owned,Coyotes Owned",Gila River,Coyotes Owned
1793,-411736095,Arizona Coyotes,TextMention,3/9/21 19:49,Twitter,Arizona Coyotes,,Photo,,22037,26,132,2,,,,,,,,,0,,,,,1081,Positive,,"Social Owned,Coyotes Owned",Gila River,Coyotes Owned
1792,1844505561,Arizona Coyotes,TextMention,3/9/21 18:28,Twitter,Arizona Coyotes,,Video,,,0,0,0,,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned,Pepsi,Geico","Fry's,Geico,Gila River,Pepsi","Coyotes Owned,Pepsi,Geico"
1791,-1814986904,Arizona Coyotes,TextMention,3/9/21 1:34,Twitter,Arizona Coyotes,,Text,,13132,10,118,0,,,,,,,,,0,,,,,358,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1790,742977273,Arizona Coyotes,TextMention,3/9/21 0:24,Twitter,Arizona Coyotes,,Photo,,130652,25,318,2,,,,,,,,,0,,,,,8497,Positive,,"Social Owned,Coyotes Owned",Cox Communications,Coyotes Owned
1789,1848547850,Arizona Coyotes,TextMention,3/9/21 22:31,Twitter,Arizona Coyotes,,Photo,,70717,84,922,17,,,,,,,,,0,,,,,6205,Objective,,"Social Owned,Coyotes Owned,Enterprise","Cox Communications,Enterprise","Coyotes Owned,Enterprise"
1788,854598929,Arizona Coyotes,TextMention,3/8/21 20:22,Twitter,Arizona Coyotes,,Text,,8221,0,55,0,,,,,,,,,0,,,,,119,Negative,,"Social Owned,Coyotes Owned",,Coyotes Owned
1787,-549084093,Arizona Coyotes,TextMention,3/8/21 20:22,Twitter,Arizona Coyotes,,Photo,,22597,7,171,4,,,,,,,,,0,,,,,686,Objective,,"Social Owned,Coyotes Owned",Cox Communications,Coyotes Owned
1786,-1168378524,Arizona Coyotes,TextMention,3/8/21 19:52,Twitter,Arizona Coyotes,,Photo,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1785,-536726045,Arizona Coyotes,TextMention,3/8/21 19:39,Twitter,Arizona Coyotes,,Text,,5384,1,54,1,,,,,,,,,0,,,,,108,Objective,,"Social Owned,Coyotes Owned,Bally Sports",,"Coyotes Owned,Bally Sports"
1784,2013067889,Arizona Coyotes,TextMention,3/8/21 19:36,Twitter,Arizona Coyotes,,Video,,22647,14,201,6,,5753,,,,,,,0,,,,,1501,Objective,5753,"Social Owned,Coyotes Owned","Cox Communications,Dunkin' Donuts",Coyotes Owned
1783,-962046554,Arizona Coyotes,TextMention,3/8/21 19:14,Twitter,Arizona Coyotes,,Photo,,32614,26,392,5,,,,,,,,,0,,,,,1599,Positive,,"Social Owned,Coyotes Owned,Pepsi,Geico","Banner Health,Fry's,Geico,Pepsi","Coyotes Owned,Pepsi,Geico"
1782,-97974663,Arizona Coyotes,TextMention,3/8/21 17:31,Twitter,Arizona Coyotes,,Text,,4689,2,40,0,,,,,,,,,0,,,,,64,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1781,-1889434254,Arizona Coyotes,TextMention,3/8/21 17:30,Twitter,Arizona Coyotes,,Text,,10592,25,106,6,,,,,,,,,0,,,,,316,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1780,-1231592930,Arizona Coyotes,TextMention,3/8/21 15:44,Twitter,Arizona Coyotes,,Photo,,7500,8,51,1,,,,,,,,,0,,,,,156,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1779,-1138132243,Arizona Coyotes,TextMention,3/8/21 2:04,Twitter,Arizona Coyotes,,Photo,,41712,20,339,11,,,,,,,,,0,,,,,4452,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1778,-1835933537,Arizona Coyotes,TextMention,3/8/21 1:48,Twitter,Arizona Coyotes,,Photo,,53186,23,449,9,,,,,,,,,0,,,,,3059,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1777,-738386300,Arizona Coyotes,TextMention,3/7/21 20:51,Twitter,Arizona Coyotes,,Photo,,24645,9,273,4,,,,,,,,,0,,,,,2209,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1776,874766251,Arizona Coyotes,TextMention,3/7/21 4:04,Twitter,Arizona Coyotes,,Text,,43349,13,333,9,,,,,,,,,0,,,,,996,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1775,957535266,Arizona Coyotes,TextMention,3/6/21 17:02,Twitter,Arizona Coyotes,,Photo,,11488,16,156,3,,,,,,,,,0,,,,,405,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1774,1919762462,Arizona Coyotes,TextMention,3/5/21 17:31,Twitter,Arizona Coyotes,,Video,,11976,24,241,12,,3116,,,,,,,0,,,,,931,Positive,3116,"Social Owned,Coyotes Owned,Geico,Dignity Health,Mayo Clinic","Dignity Health,Geico,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Geico,Dignity Health,Mayo Clinic"
1773,-1263928768,Arizona Coyotes,TextMention,3/5/21 1:31,Twitter,Arizona Coyotes,,Text,,42536,33,303,20,,,,,,,,,0,,,,,2193,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1772,-449841875,Arizona Coyotes,TextMention,3/5/21 0:29,Twitter,Arizona Coyotes,,Video,,31492,20,168,16,,8723,,,,,,,0,,,,,2449,Positive,8723,"Social Owned,Coyotes Owned",,Coyotes Owned
1771,-1904132965,Arizona Coyotes,TextMention,3/4/21 23:22,Twitter,Arizona Coyotes,,Photo,,228567,143,2135,32,,,,,,,,,0,,,,,16013,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1770,-1731028032,Arizona Coyotes,TextMention,3/4/21 22:35,Twitter,Arizona Coyotes,,Text,,331800,98,676,86,,,,,,,,,0,,,,,10593,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1769,-438861754,Arizona Coyotes,TextMention,3/3/21 19:07,Twitter,Arizona Coyotes,,Photo,,19777,10,221,2,,,,,,,,,0,,,,,1023,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1768,-1042628011,Arizona Coyotes,TextMention,3/29/21 18:06,Twitter,Arizona Coyotes,,Photo,,1841,1,48,8,,,,,,,,,0,,,,,122,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1767,-712568245,Arizona Coyotes,TextMention,3/28/21 20:56,Twitter,Arizona Coyotes,,Text,,27760,15,144,8,,,,,,,,,0,,,,,1264,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1766,-801848522,Arizona Coyotes,TextMention,3/28/21 19:37,Twitter,Arizona Coyotes,,Text,,41990,23,154,3,,,,,,,,,0,,,,,917,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
